2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:58:36.456 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:58:36.456 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:58:36.561 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:58:36.561 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 15:01:43.814 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 38886 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 15:01:43.817 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 15:01:44.652 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 1.109 seconds (JVM running for 1.462)
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 15:01:44.655 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:01:44.656 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 15:01:44.656 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 15:01:44.768 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 15:01:44.768 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 15:02:51.467 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 39115 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 15:02:51.469 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 15:02:51.998 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.797 seconds (JVM running for 1.096)
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 15:02:52.000 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:02:52.001 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 15:02:52.001 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 15:02:52.103 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 15:02:52.104 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 15:08:19.879 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 39645 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 15:08:19.881 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 15:08:20.302 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.71 seconds (JVM running for 1.012)
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 15:08:20.304 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:08:20.305 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 15:08:20.306 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 15:08:20.412 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 15:08:20.412 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 15:08:55.413 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 39779 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 15:08:55.415 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 15:08:55.904 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.755 seconds (JVM running for 1.055)
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 15:08:55.906 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 15:08:55.907 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 15:08:55.907 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 15:08:56.035 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 15:08:56.036 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
